method,dataset,mean,std
CTGAN,adult,0.7581,0.0205
CTGAN,beijing,0.7430,0.0311
CTGAN,default,0.7024,0.0285
CTGAN,diabetes,0.8095,0.0170
CTGAN,magic,0.9445,0.0071
CTGAN,news,0.9485,0.0011
CTGAN,shoppers,0.7554,0.0189
TVAE,adult,0.6664,0.0330
TVAE,beijing,0.7022,0.0356
TVAE,default,0.8135,0.0287
TVAE,diabetes,0.5936,0.0925
TVAE,magic,0.9531,0.0120
TVAE,news,0.9386,0.0064
TVAE,shoppers,0.7928,0.0256
GReaT,adult,0.1907,0.0023
GReaT,beijing,0.9185,0.0272
GReaT,default,0.7765,0.0187
GReaT,magic,0.9076,0.0094
GReaT,shoppers,0.8892,0.0047
STaSy,adult,0.8526,0.0204
STaSy,beijing,0.8804,0.0203
STaSy,default,0.9297,0.0221
STaSy,diabetes,0.1480,
STaSy,magic,0.9399,0.0158
STaSy,news,0.9699,0.0043
STaSy,shoppers,0.8745,0.0259
CoDi,adult,0.7714,0.0163
CoDi,beijing,0.9258,0.0101
CoDi,default,0.8376,0.0119
CoDi,diabetes,0.6859,
CoDi,magic,0.9397,0.0050
CoDi,news,0.9571,0.0008
CoDi,shoppers,0.8059,0.0095
TabSyn,adult,0.9795,0.0030
TabSyn,beijing,0.9550,0.0157
TabSyn,default,0.9712,0.0094
TabSyn,diabetes,0.9603,0.0011
TabSyn,magic,0.9918,0.0014
TabSyn,news,0.9833,0.0044
TabSyn,shoppers,0.9771,0.0013
TabDiff,adult,0.9846,0.0007
TabDiff,beijing,0.9741,0.0018
TabDiff,default,0.9726,0.0068
TabDiff,diabetes,0.9686,0.0083
TabDiff,magic,0.9916,0.0021
TabDiff,news,0.9836,0.0026
TabDiff,shoppers,0.9809,0.0017
SimpleFactors,adult,0.6125,0.0088
SimpleFactors,beijing,0.7301,0.0015
SimpleFactors,default,0.4658,0.0033
SimpleFactors,diabetes,0.9199,0.0023
SimpleFactors,magic,0.7835,0.0020
SimpleFactors,news,0.9065,0.0008
SimpleFactors,shoppers,0.6063,0.0015
FullyFactorizedPreprocessed,adult,0.9251,0.0004
FullyFactorizedPreprocessed,beijing,0.9101,0.0010
FullyFactorizedPreprocessed,default,0.8875,0.0013
FullyFactorizedPreprocessed,diabetes,0.9685,0.0017
FullyFactorizedPreprocessed,magic,0.8696,0.0005
FullyFactorizedPreprocessed,news,0.9548,0.0006
FullyFactorizedPreprocessed,shoppers,0.9367,0.0014
FullyFactorizedRandom,adult,0.3878,0.0122
FullyFactorizedRandom,beijing,0.6073,0.0027
FullyFactorizedRandom,default,0.4643,0.0089
FullyFactorizedRandom,diabetes,0.2321,0.0001
FullyFactorizedRandom,magic,0.8191,0.0027
FullyFactorizedRandom,news,0.9138,0.0003
FullyFactorizedRandom,shoppers,0.5185,0.0008
ShallowMixture,adult,0.9814,0.0012
ShallowMixture,beijing,0.9646,0.0062
ShallowMixture,default,0.9771,0.0013
ShallowMixture,diabetes,0.9741,0.0016
ShallowMixture,magic,0.9789,0.0010
ShallowMixture,news,0.9758,0.0007
ShallowMixture,shoppers,0.9503,0.0091
TabPC,adult,0.9856,0.0012
TabPC,beijing,0.9781,0.0025
TabPC,default,0.9496,0.0189
TabPC,diabetes,0.9810,0.0019
TabPC,magic,0.9830,0.0051
TabPC,news,0.9815,0.0020
TabPC,shoppers,0.9822,0.0023
